# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,19930101,   -4
  260,19930102,    4
  260,19930103,  -33
  260,19930104,  -19
  260,19930105,   54
  260,19930106,   96
  260,19930107,   94
  260,19930108,   97
  260,19930109,  112
  260,19930110,  124
  260,19930111,  117
  260,19930112,   78
  260,19930113,  151
  260,19930114,   86
  260,19930115,  125
  260,19930116,  141
  260,19930117,  115
  260,19930118,   84
  260,19930119,   93
  260,19930120,  110
  260,19930121,  123
  260,19930122,  122
  260,19930123,  116
  260,19930124,  120
  260,19930125,   71
  260,19930126,   56
  260,19930127,   61
  260,19930128,   93
  260,19930129,   86
  260,19930130,   39
  260,19930131,   39
  260,19930201,   15
  260,19930202,   31
  260,19930203,   37
  260,19930204,    9
  260,19930205,   40
  260,19930206,   70
  260,19930207,   71
  260,19930208,   63
  260,19930209,   55
  260,19930210,   39
  260,19930211,   21
  260,19930212,   57
  260,19930213,   11
  260,19930214,    0
  260,19930215,   33
  260,19930216,   86
  260,19930217,   84
  260,19930218,   79
  260,19930219,   79
  260,19930220,   75
  260,19930221,   63
  260,19930222,   52
  260,19930223,   36
  260,19930224,   16
  260,19930225,   38
  260,19930226,   38
  260,19930227,   47
  260,19930228,   43
  260,19930301,   41
  260,19930302,   61
  260,19930303,   25
  260,19930304,   31
  260,19930305,   55
  260,19930306,   89
  260,19930307,   75
  260,19930308,   91
  260,19930309,   83
  260,19930310,  122
  260,19930311,  138
  260,19930312,  161
  260,19930313,  162
  260,19930314,  173
  260,19930315,  176
  260,19930316,  127
  260,19930317,  137
  260,19930318,  123
  260,19930319,  107
  260,19930320,  122
  260,19930321,  153
  260,19930322,  141
  260,19930323,   95
  260,19930324,   99
  260,19930325,   88
  260,19930326,  101
  260,19930327,   83
  260,19930328,   78
  260,19930329,   96
  260,19930330,  130
  260,19930331,  149
  260,19930401,  138
  260,19930402,  101
  260,19930403,  123
  260,19930404,   85
  260,19930405,  103
  260,19930406,  106
  260,19930407,   92
  260,19930408,  101
  260,19930409,  131
  260,19930410,  129
  260,19930411,  109
  260,19930412,  125
  260,19930413,  130
  260,19930414,  143
  260,19930415,  144
  260,19930416,  157
  260,19930417,  113
  260,19930418,  133
  260,19930419,  120
  260,19930420,  218
  260,19930421,  210
  260,19930422,  180
  260,19930423,  192
  260,19930424,  218
  260,19930425,  202
  260,19930426,  209
  260,19930427,  236
  260,19930428,  269
  260,19930429,  268
  260,19930430,  269
  260,19930501,  234
  260,19930502,  130
  260,19930503,  125
  260,19930504,  139
  260,19930505,  136
  260,19930506,  153
  260,19930507,  147
  260,19930508,  194
  260,19930509,  253
  260,19930510,  252
  260,19930511,  261
  260,19930512,  252
  260,19930513,  158
  260,19930514,  144
  260,19930515,  153
  260,19930516,  189
  260,19930517,  245
  260,19930518,  219
  260,19930519,  212
  260,19930520,  229
  260,19930521,  157
  260,19930522,  195
  260,19930523,  219
  260,19930524,  255
  260,19930525,  244
  260,19930526,  241
  260,19930527,  157
  260,19930528,  131
  260,19930529,  205
  260,19930530,  208
  260,19930531,  171
  260,19930601,  202
  260,19930602,  224
  260,19930603,  175
  260,19930604,  212
  260,19930605,  237
  260,19930606,  238
  260,19930607,  244
  260,19930608,  266
  260,19930609,  290
  260,19930610,  289
  260,19930611,  227
  260,19930612,  159
  260,19930613,  174
  260,19930614,  140
  260,19930615,  177
  260,19930616,  146
  260,19930617,  196
  260,19930618,  171
  260,19930619,  184
  260,19930620,  196
  260,19930621,  185
  260,19930622,  186
  260,19930623,  182
  260,19930624,  173
  260,19930625,  159
  260,19930626,  184
  260,19930627,  188
  260,19930628,  184
  260,19930629,  240
  260,19930630,  263
  260,19930701,  248
  260,19930702,  235
  260,19930703,  237
  260,19930704,  265
  260,19930705,  177
  260,19930706,  182
  260,19930707,  175
  260,19930708,  231
  260,19930709,  231
  260,19930710,  178
  260,19930711,  171
  260,19930712,  173
  260,19930713,  190
  260,19930714,  179
  260,19930715,  181
  260,19930716,  226
  260,19930717,  202
  260,19930718,  211
  260,19930719,  181
  260,19930720,  195
  260,19930721,  179
  260,19930722,  197
  260,19930723,  219
  260,19930724,  240
  260,19930725,  188
  260,19930726,  183
  260,19930727,  175
  260,19930728,  208
  260,19930729,  227
  260,19930730,  186
  260,19930731,  190
  260,19930801,  195
  260,19930802,  243
  260,19930803,  209
  260,19930804,  215
  260,19930805,  210
  260,19930806,  186
  260,19930807,  223
  260,19930808,  215
  260,19930809,  186
  260,19930810,  172
  260,19930811,  183
  260,19930812,  192
  260,19930813,  197
  260,19930814,  224
  260,19930815,  231
  260,19930816,  209
  260,19930817,  198
  260,19930818,  217
  260,19930819,  220
